School Name,Address,Minutes from Grand Central Terminal,Minutes from Fulton Center,Minutes from MetroTech Center
47 The American Sign Language and English Secondary School,"225 East 23rd Street, New York, NY 10010",9,22,31
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,"433 W 135th St, New York, NY 10031",33,40,47
Academy for College Preparation and Career Exploration: A College Board School,"911 FLATBUSH AVE, BROOKLYN NY 11213",47,36,29
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,6565 Flatlands Avenue Brooklyn NY 11235,60,55,48
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,"400 IRVING AVE, BROOKLYN NY 10453",28,32,47
ACADEMY FOR HEALTH CAREERS,"150 ALBANY AVE, BROOKLYN, NY 11213",47,32,29
ACADEMY FOR LANGUAGE AND TECHNOLOGY,"1700 Macombs Road, Bronx, NY 10453",35,50,65
Academy for Scholarship and Entrepreneurship: A College Board School,"921 East 228th Street, Bronx, NY 10466",68,77,86
ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,"509 WEST 129TH ST, NEW YORK NY 11208",58,77,87
ACADEMY FOR YOUNG WRITERS,"1065 ELTON ST, BROOKLYN NY 10029",62,53,50
ACADEMY OF FINANCE AND ENTERPRISE,"30-20 Thomson Avenue, Long Island City, NY 11101",18,37,38
Academy of Hospitality and Tourism,"911 FLATBUSH AVENUE, Brooklyn NY 11226",45,39,25
Academy of Innovative Technology,"999 Jamaica Avenue, Brooklyn, NY 11208",50,45,39
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,"8 21 BAY 25TH ST, FAR ROCKAWAY NY 11691",67,56,53
ACADEMY OF URBAN PLANNING,"400 IRVING AVE, BROOKLYN NY 11237",28,32,47
Achievement First Brooklyn High School,"1485 Pacific Street, Brooklyn NY 11216",41,22,19
Achievement First Brooklyn University Prep High School,"1485 Pacific Street, Brooklyn NY 11216",41,22,19
ACORN COMMUNITY HIGH SCHOOL,"561 Grand Avenue, Brooklyn, NY 11238",44,27,18
Alfred E. Smith Career and Technical Education High School,"333 East 151st Street, Bronx, NY 10451",28,43,58
ALL CITY LEADERSHIP SECONDARY SCHOOL,"321 PALMETTO STREET, Brooklyn, NY 11237",33,46,31
Antonia Pantoja Preparatory Academy: A College Board School,"1980 LAFAYETTE AVE, BRONX NY 11237",56,63,79
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","456 WHITE PLAINS RD, BRONX NY 11237",56,69,86
ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,"1010 REV. J. A. POLITE AVENUE, Bronx NY 10459",38,53,62
Aspirations Diploma Plus High School,"1495 HERKIMER STREET, Brooklyn NY 11233",39,27,24
ASTOR COLLEGIATE ACADEMY,925 Astor Avenue  Bronx NY 10469,59,69,79
Automotive High School,"50 Bedford Avenue, Brooklyn, NY 11222",25,32,31
AVIATION CAREER AND TECHNICAL HIGH SCHOOL,"45-30 36th Street, Long Island City, NY 11101",16,41,51
BANANA KELLY HIGH SCHOOL,"965 LONGWOOD AVE, BRONX NY 10473",29,38,53
BAYSIDE HIGH SCHOOL,"32-24 CORPORAL KENNEDY ST, QUEENS NY 11361",67,78,84
BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,"832 MARCY AVE, BROOKLYN NY 11233",34,25,25
BELMONT PREPARATORY HIGH SCHOOL,"500 East Fordham Road, Bronx, NY 10458",26,47,63
Boys and Girls High School,"1700 Fulton Street, Brooklyn, NY 11213",38,19,16
Bronx Academy for Software Engineering (BASE),"2474 CROTONA AVENUE, Bronx, NY 10458",55,69,77
BRONX ACADEMY OF HEALTH CAREERS,"800 EAST GUN HILL RD, BRONX NY 10467",47,57,73
BRONX AEROSPACE HIGH SCHOOL,"800 EAST GUN HILL ROAD, Bronx NY 10467",62,69,79
BRONX ARENA HIGH SCHOOL,"1440 STORY AVE, BRONX NY 10457",42,52,68
BRONX BRIDGES HIGH SCHOOL,"1980 LAFAYETTE AVE, BRONX NY 10459",56,63,79
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,"800 HOME ST, BRONX NY 10457",36,46,62
BRONX CENTER FOR SCIENCE AND MATHEMATICS,"1365 Fulton Avenue, Bronx, NY 10456",55,73,74
BRONX COLLABORATIVE HIGH SCHOOL,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX NY",40,55,70
BRONX COLLEGIATE ACADEMY,"240 EAST 172 STREET, Bronx NY 10457",35,51,49
BRONX COMMUNITY HIGH SCHOOL,"1980 Lafayette Avenue, Bronx, NY 10473",58,75,86
Bronx Compass High School,"1980 Lafayette Avenue, Bronx, NY 10473",58,75,86
Bronx Design and Construction Academy,"333 East 151st Street, Bronx, NY 10451",28,43,58
BRONX EARLY COLLEGE ACADEMY FOR TEACHING AND LEARNING,"250 EAST 164TH ST, BRONX NY 10459",29,39,54
BRONX ENGINEERING AND TECHNOLOGY ACADEMY,"99 TERRACE VIEW AVENUE, Bronx NY 10463",28,62,57
BRONX ENVISION ACADEMY,"1619 BOSTON RD, BRONX NY 11236",33,43,58
