School Name,Address,State Name [Public School] Latest available year,Location ZIP [Public School] 2011-12,Location City [Public School] 2011-12
IN TECH ACADEMY AKA MS HS 368,"2975 Tibbett Ave, Bronx NY, 10463",New York,10463,BRONX
SOUTH BRONX PREPARATORY   A COLLEGE BOARD SCHOOL,"360 EAST 145 STREET, Bronx NY 10454",New York,10454,BRONX
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","244 East 163rd Street, Bronx, NY 10451",New York,10451,BRONX
WEST BRONX ACADEMY FOR THE FUTURE,"500 East Fordham Road, Bronx, NY 10458",New York,10458,BRONX
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,"1595 Bathgate Avenue, Bronx, NY 10457",New York,10457,BRONX
EAST BRONX ACADEMY FOR THE FUTURE,"1716 Southern Boulevard, Bronx, NY 10460",New York,10460,BRONX
BRONX ACADEMY OF LETTERS,"339 Morris Avenue, Bronx, NY 10451",New York,10451,BRONX
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,"2780 Reservoir Avenue, Bronx, NY 10468",New York,10468,BRONX
BRONX LATIN SCHOOL,"800 Home Street, Rm. 426; Bronx, NY 10456",New York,10456,BRONX
FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,"3630 3rd Ave, Bronx, NY 10456",New York,10456,BRONX
HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,"2780 Reservoir Avenue, Bronx, NY 10468",New York,10468,BRONX
SCHOOL FOR EXCELLENCE,"1110 BOSTON ROAD, BRONX, NY 10456",New York,10456,BRONX
ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,"333 East 151st Street, Bronx, NY 10451",New York,10451,BRONX
METROPOLITAN HIGH SCHOOL,"1180 Rev James A Polite Avenue, Bronx, NY 10459",New York,10459,BRONX
BRONX COMMUNITY HIGH SCHOOL,"1980 Lafayette Avenue, Bronx, NY 10473",New York,10473,BRONX
PEACE AND DIVERSITY ACADEMY,"1180 Rev James A Polite Avenue, Bronx, NY 10459",New York,10459,BRONX
EXPLORATIONS ACADEMY,"1619 Boston Road, Bronx, NY 10460",New York,10460,BRONX
BRONX AEROSPACE HIGH SCHOOL,"800 EAST GUN HILL ROAD, Bronx NY 10467",New York,10467,BRONX
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,"925 Astor Avenue, Bronx, NY 10469",New York,10469,BRONX
BRONX HIGH SCHOOL OF BUSINESS,"240 East 172nd Street, Bronx, NY 10457",New York,10457,BRONX
